,"Author: Herculano, Anderson Manoel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 33 (Of the 91 documents considered for the h-index, 33 have been cited at least 33 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2011,"Genotoxicity of mercury: Contributing for the analysis of Amazonian populations",01604120,"Environment International","37","1",0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,5,4,6,7,1,8,1,0,1,0,0,42,0,42
2011,"Neurophenotyping of adult zebrafish using the light/dark box paradigm",08932336,"Neuromethods","51","",0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,9,3,5,3,7,6,10,7,3,5,3,4,73,0,73
2010,"A review of monoaminergic neuropsychopharmacology in zebrafish",15458547,"Zebrafish","7","4",0,0,0,0,0,0,0,0,0,0,0,2,4,8,5,4,8,3,2,3,12,9,10,6,6,6,6,94,0,94
2010,"Measuring anxiety in zebrafish: A critical review",01664328,"Behavioural Brain Research","214","2",0,0,0,0,0,0,0,0,0,0,1,15,21,20,20,24,30,35,27,35,39,38,41,33,34,36,23,472,0,472
2010,"Pathogenic action of Plasmodium gallinaceum in chickens: Brain histology and nitric oxide production by blood monocyte-derived macrophages",03044017,"Veterinary Parasitology","172","1-2",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,8,0,8
2010,"Mercury in the Tapajós River basin, Brazilian Amazon: A review",01604120,"Environment International","36","6",0,0,0,0,0,0,0,0,0,0,0,8,6,5,12,8,6,13,15,19,12,30,16,9,14,13,8,194,0,194
2010,"Pharmacological characterization of glutamate Na+-independent transport in retinal cell cultures: Implications in the glutathione metabolism",01970186,"Neurochemistry International","56","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,0,4
2009,"Mercury and human genotoxicity: Critical considerations and possible molecular mechanisms",10436618,"Pharmacological Research","60","4",0,0,0,0,0,0,0,0,0,0,7,15,10,9,11,11,11,12,14,22,15,29,22,19,18,20,9,254,0,254
2009,"Mercury speciation analysis on cell lines of the human central nervous system to explain genotoxic effects",0026265X,"Microchemical Journal","93","1",0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,1,3,3,0,2,2,0,0,3,0,21,0,21
2008,"Methylmercury neurotoxicity & antioxidant defenses",09715916,"Indian Journal of Medical Research","128","4",0,0,0,0,0,0,0,0,1,3,3,7,6,3,11,5,4,6,6,6,4,7,3,5,2,4,2,88,0,88
2008,"Mercury exposure and antioxidant defenses in women: A comparative study in the Amazon",00139351,"Environmental Research","107","1",0,0,0,0,0,0,0,0,1,6,4,6,6,4,3,3,4,2,5,3,5,4,1,5,2,1,1,66,0,66
2007,"In vitro toxicity induced by methylmercury on sympathetic neurons is reverted by l-cysteine or glutathione",01680102,"Neuroscience Research","58","3",0,0,0,0,0,0,0,0,2,1,2,1,2,1,2,0,1,2,1,1,0,1,1,1,1,0,0,20,0,20
2007,"Methylmercury genotoxicity: A novel effect in human cell lines of the central nervous system",01604120,"Environment International","33","2",0,0,0,0,0,0,0,1,3,7,4,5,7,3,3,3,5,6,10,6,5,9,6,1,0,5,1,90,0,90
2007,"Mercury pollution and childhood in Amazon riverside villages",01604120,"Environment International","33","1",0,0,0,0,0,0,0,4,7,7,3,5,2,0,7,2,3,1,6,3,0,3,3,1,1,3,0,61,0,61
2006,"Methylmercury intoxication activates nitric oxide synthase in chick retinal cell culture",0100879X,"Brazilian Journal of Medical and Biological Research","39","3",0,0,0,0,0,0,0,3,3,1,3,2,1,3,4,3,2,1,1,2,1,2,1,1,1,0,0,35,0,35
2005,"Mercury and neurotoxicity",02100010,"Revista de Neurologia","40","7",0,0,0,0,0,0,2,3,4,1,3,2,2,0,3,1,1,1,6,3,2,8,1,1,1,0,0,45,0,45
